ID gender age birth_order frequency vanilla strawberry milk_tea macadamia_nuts cookie chocolate melon coffee almond rum_raisin mint banana caramel walnut cassis chocolate_chips orange green_tea marron chocolate_mint adzuki-bean
25 2 20 1 3 7 6 7 9 9 8 4 6 8 9 3 6 8 8 5 8 4 8 9 3 9
26 2 21 4 4 7 5 8 7 9 9 5 9 4 4 1 5 4 4 8 9 8 8 6 1 7
27 2 20 2 5 7 9 7 7 8 5 3 4 8 9 1 2 8 8 9 8 9 6 3 1 7
28 2 21 2 4 7 6 1 7 8 8 4 4 4 6 7 3 6 6 4 8 4 8 7 8 7
29 2 21 3 4 6 7 7 8 8 9 8 9 9 6 6 5 9 8 7 9 7 7 5 5 3
30 2 21 4 4 7 7 7 7 9 9 6 9 9 9 9 9 9 5 5 9 6 9 7 9 6
31 2 21 2 6 7 2 9 4 8 2 1 7 6 9 6 4 9 2 7 8 7 6 9 7 4
32 2 29 4 2 9 9 7 4 7 9 8 3 3 6 2 6 7 5 6 8 8 8 7 2 7
33 2 21 3 2 8 7 7 7 8 9 3 5 5 5 4 6 7 6 5 8 4 7 7 6 9
34 2 21 3 5 6 5 6 7 8 9 7 7 8 1 8 5 7 8 5 9 6 6 7 8 9
35 2 21 2 5 8 8 6 5 7 9 4 5 6 8 5 4 5 5 5 9 5 5 5 5 7
36 2 21 2 5 7 9 9 7 8 7 8 9 6 4 3 7 9 5 7 7 8 7 7 3 7
37 2 20 4 2 7 6 2 2 9 9 6 4 7 3 1 4 6 1 4 9 2 4 1 1 8
38 2 20 2 4 9 4 7 7 9 8 3 8 7 5 6 5 7 5 3 8 7 6 7 6 4
39 2 20 2 4 7 6 9 6 4 9 6 7 6 5 7 4 8 5 5 7 7 9 4 8 7
40 2 20 1 4 9 8 6 7 8 8 4 6 7 7 2 8 8 8 7 8 6 9 9 2 7
41 1 19 2 2 9 7 5 5 7 7 7 5 5 3 5 6 6 5 5 7 6 6 5 5 4
42 1 19 4 4 9 9 5 5 5 7 2 4 5 9 8 1 4 1 1 9 7 6 3 7 1
43 1 20 3 5 9 6 6 8 7 1 3 3 3 8 3 2 2 2 2 1 1 9 8 1 6
44 1 19 4 1 6 6 4 4 3 5 1 5 4 5 5 5 5 4 6 5 7 5 5 5 2
45 1 20 2 6 7 7 6 8 5 6 9 2 2 5 5 4 7 9 8 6 9 9 9 9 9
46 1 18 1 3 7 8 7 5 5 7 6 5 3 3 6 8 9 3 6 8 5 7 9 6 9
47 1 18 3 6 9 7 6 5 8 9 5 8 6 8 5 6 7 5 5 9 8 6 5 8 5
48 1 18 2 4 7 4 5 8 7 8 5 6 6 3 3 3 4 5 5 7 7 6 3 3 6
49 1 20 2 6 4 7 8 8 8 7 6 4 8 9 8 8 9 9 5 6 4 3 5 7 4
50 1 19 1 1 9 6 7 5 5 1 1 6 3 3 1 1 3 5 4 1 7 9 5 1 4
51 1 19 2 6 7 8 6 3 5 6 6 6 3 8 6 4 5 2 3 8 5 8 3 8 2
52 1 21 1 2 9 4 5 3 7 7 1 5 3 4 4 8 6 2 4 9 8 7 5 5 9
53 1 20 1 5 9 8 7 6 9 8 6 9 5 1 1 7 9 7 6 9 5 3 9 1 9
54 1 21 4 5 8 8 7 5 7 7 8 4 4 8 4 5 4 4 4 7 6 3 4 6 5
55 1 19 4 4 7 7 8 7 6 9 5 9 5 7 6 5 6 5 9 9 7 9 7 8 9
56 1 20 2 2 5 7 5 5 5 9 5 5 5 5 8 4 6 5 5 9 9 8 5 9 8
57 1 22 1 3 9 9 9 9 9 6 6 9 8 9 1 7 8 6 6 8 7 9 7 1 9
58 1 19 1 3 9 3 5 7 6 3 2 4 5 8 1 5 1 6 3 8 2 7 1 1 3
59 1 20 2 3 7 7 7 4 6 6 7 7 4 6 6 7 8 3 6 7 7 8 6 3 6
60 1 20 4 8 7 8 8 5 7 4 4 4 3 9 7 5 6 4 5 5 8 7 6 5 6
61 1 18 2 4 6 4 3 5 9 6 4 3 4 5 3 3 4 3 5 8 5 1 3 5 1
62 1 25 2 3 7 8 6 5 9 8 7 7 5 4 4 7 5 5 5 9 7 6 6 4 5
63 1 19 2 2 6 6 7 7 7 9 5 6 7 5 5 6 8 7 5 9 5 6 6 8 5
64 1 21 2 4 8 7 9 6 9 9 6 9 3 7 6 8 4 5 9 9 3 6 5 9 1
65 1 21 2 6 7 8 5 4 6 5 5 5 5 9 5 4 7 7 5 6 4 8 5 4 6
66 1 20 2 1 7 7 7 7 8 6 5 9 5 8 5 7 4 6 5 7 7 9 5 5 6
67 1 22 2 5 7 7 5 4 8 8 5 5 4 4 3 5 3 3 4 8 7 8 5 3 4
68 1 21 2 5 5 5 6 7 7 9 6 6 9 6 8 5 5 9 6 9 6 9 7 8 5
69 1 21 3 1 8 7 5 5 7 7 6 5 5 6 5 6 5 4 5 7 8 5 5 5 5
70 1 21 2 6 7 7 9 8 9 5 8 8 5 6 5 9 9 8 6 9 8 9 7 7 7
71 1 22 4 4 7 7 6 6 8 9 6 5 5 5 4 5 7 5 5 9 7 3 7 6 8
72 1 24 1 2 6 7 5 6 4 8 8 7 6 8 4 4 2 6 8 4 7 8 3 2 6
73 1 20 2 2 6 6 5 8 8 7 3 6 7 7 8 6 7 8 7 8 5 8 8 8 7
74 1 20 2 5 8 8 4 8 9 7 3 6 6 3 8 5 4 8 8 9 8 9 6 9 4
75 1 21 2 6 4 6 2 3 6 6 8 5 4 2 2 3 2 3 2 6 8 1 1 2 2
76 1 20 2 4 5 6 4 9 6 7 4 3 6 5 4 5 5 5 5 7 7 4 4 4 4
77 1 20 3 6 7 5 6 6 8 9 4 4 4 5 4 3 9 5 5 9 7 6 5 6 7
78 1 23 1 5 4 8 8 9 9 9 4 8 9 1 9 6 8 9 5 9 9 9 4 9 9
79 1 23 4 7 9 7 7 5 4 6 7 7 4 5 8 9 7 4 5 8 8 5 5 8 4
80 1 22 2 2 8 5 5 2 5 4 7 1 5 5 3 4 5 5 5 5 7 1 1 5 5
